HEADWORD;DEFINITION;PART OF SPEECH;SEMANTIC GROUP;FREQUENCY RANK
ὁ ἡ τό;حرف تعریف. در فارسی گاه می‌تواند به «آن» ترجمه شود.;حرف تعریف;ضمیر/ادات پرسش;1
αὐτός αὐτή αὐτό;"خودش، خود آن (برای تاکید)؛ به همراه حرف تعریف: همان؛ در حالت غیرفاعلی: او/آن را، به او/آن";صفت (صرف اول و دوم);ضمیر/ادات پرسش;2
καί;و، هم، نیز;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;3
δέ;و، ولی، اما;حرف ربط هم‌پایه‌ساز;ادات;4
τίς τί;که؟ چه؟ کدام؟;ضمیر;ضمیر/ادات پرسش;5
εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι;بودن;فعل (بی‌قاعده);انسان و هستی;6
οὗτος αὕτη τοῦτο;این، μετὰ ταῦτα: پس از این/آن;ضمیر;ضمیر/ادات پرسش;7
ἤ;"یا؛ با صفت تفضیلی: از";حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;8
ἐν;در، میان (+برایی);حرف اضافه;جهت;9
μέν...δέ;"گرچه، با اینکه، از طرفی؛ μέν بدون δέ: همانا";حرف ربط هم‌پایه‌ساز;ادات;10
τις τι;" کسی، چیزی؛ هر کس، هر چه (ضمیر نامعین متصل)";ضمیر;ضمیر/ادات پرسش;11
ὅς ἥ ὅ;که، آنکه، آنچه;ضمیر;ضمیر/ادات پرسش;12
γάρ;همانا، چرا که، حقیقتا، زیرا;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;13
οὐ, οὐκ, οὐχ;ادات نفی (+اخباری);قید;حرف ربط/ قید;14
λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην;گفتن، گفتگو کردن، برشمردن، برداشتن;فعل (مختوم به صامت کامی);گفتن و نوشتن;15
ὡς;"از آنجایی که، چنان، چنان‌که، به جهت؛ که، تا (+التزامی و تمنایی)";حرف ربط وابسته‌ساز;حرف ربط/ قید;16
τε;و، هم;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;17
εἰς;سوی، طرف، به، تا (+رایی);حرف اضافه;جهت;18
ἐπί;بر، روی، برابر، مقابل (+رایی، اضافی و برایی);حرف اضافه;جهت;19
κατά;"پایین، زیر؛ همسو، مطابق، هماهنگ با؛ (κατὰ γῆν: از راه زمین، καθ᾿ἕνα: یک به یک)";حرف اضافه;جهت;20
ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν;مفرد: من، جمع: ما;ضمیر;ضمیر/ادات پرسش;21
πρός;سوی، مقابل (+رایی) از سوی (+اضافی) نزد، حدود، علاوه بر (+برایی);حرف اضافه;جهت;22
γίγνομαι, γενήσομαι, 2 aor. ἐγενόμην, γέγονα, γεγένημαι, ἐγενήθην;شدن، رخ دادن، پدید آمدن، به دنیا آمدن، بودن;فعل (مجهول‌نما);انسان و هستی;23
ἐάν (εἰ-ἄν);اگر (+التزامی);حرف ربط وابسته‌ساز;حرف ربط/ قید;24
διά;طی، حین، به خاطر (+ رایی و اضافی);حرف اضافه;حرف اضافه بدون جهت;25
ἀλλά;اما، بلکه;حرف ربط هم‌پایه‌ساز;حرف ربط/ قید;26
πᾶς πᾶσα πᾶν;همه، تمام;اسم (صرف سوم، بی‌قاعده);سنجش و شمارش;27
ἔχω, ἕξω or σχήσω, 2 aor. ἔσχον, ἔσχηκα, impf. εἶχον;داشتن، نگه‌داشتن;فعل (مختوم به صامت کامی);مبادلات ;28
ἐκ, ἐξ;از (+اضافی);حرف اضافه;جهت;29
πολύς πολλή πολύ;بسیار، بسیاری;اسم (صرف سوم، بی‌قاعده);سنجش و شمارش;30
περί;پیرامون، درباره (+اضافی);حرف اضافه;جهت;31
μή;ادات نفی (+التزامی و شرطی);حرف ربط وابسته‌ساز;حرف ربط/ قید;32
ὅστις ἥτις ὅ τι;آنکه، آنچه، هر آن کس/چیز که;ضمیر;ضمیر/ادات پرسش;33
ἄν;ادات همراه با افعال التزامی و تمنایی، عموما برای نشان دادن شرط، احتمال، التزام یا بند وابسته.;قید;ادات;34
σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν;مفرد: تو، جمع: شما;ضمیر;ضمیر/ادات پرسش;35
ἀνά;"بالای، روی، رو به بالا؛ طی";حرف اضافه;جهت;36
ὅτι;که، آنگاه، چرا که;حرف ربط وابسته‌ساز;حرف ربط/ قید;37
